who;occupation;when;quote;source;link;measurable_prediction;timeframe;range_start;range_mean;range_end;tag
David Sacks;White House AI Czar;2025-05-27;"I’d say that within the next five years, it’s possible that everyone could own a robot,...A humanoid robot, in theory, will be able to do anything that a human can physically do.";Fox News interview;https://www.foxnews.com/video/6373546511112;Everyone will own a humanoid robot in the next five years.;in the next 5 years;;2030-05-27;;robots
Sam Altman;CEO of OpenAI;2025-01-05;"AGI will probably get developed during [Trump’s] term.";Bloomberg interview;https://www.bloomberg.com/features/2025-sam-altman-interview;AGI developed during Trump's term (2025-2029);during [Trump's] term;2025-01-20;;2029-01-20;agi
Jensen Huang;CEO of NVIDIA;2024-03-01;"If I gave an AI ... every single test that you can possibly imagine, you make that list of tests and put it in front of the computer science industry, and I'm guessing in five years time, we'll do well on every single one.";Stanford forum;https://www.reuters.com/technology/nvidia-ceo-says-ai-could-pass-human-tests-five-years-2024-03-01/;AI passing all conceivable tests within five years.;within five years;;2029-03-01;;agi
Sergey Brin;Co-founder of Google;2025-05-21;"uh 2030, boy you really kind of put it on that fine line, I'm gonna say, I'm gonna say before";Google I/O 2025;https://www.youtube.com/watch?v=M2ZtBQI2-GY&t=1559s;AGI achieved before 2030;before 2030;;2029-12-31;;agi
Sam Altman;CEO of OpenAI;2023-05-08;"I think we will get the hallucination problem to a much much better place, it will take us my collegue's way I think it'll take us a year and a half - 2 years, something like that.";Digital India Dialogues and Karmayogi Talks;https://www.youtube.com/watch?v=Pig9WbMN1lQ&t=2060s;AI hallucination problem significantly improved within 1.5 to 2 years.;within 1.5 to 2 years;2024-11-08;;2025-05-08;hallucinations
Dario Amodei;CEO of Anthropic;2024-10-11;"What powerful AI (I dislike the term AGI) will look like, and when (or if) it will arrive, is a huge topic in itself... I think it could come as early as 2026, though there are also ways it could take much longer.";Machines of Loving Grace;https://www.darioamodei.com/essay/machines-of-loving-grace;Powerful AI achieved as early as 2026, but potentially taking much longer depending on various factors.;as early as 2026;2026-01-01;;;agi
Sergey Brin;Co-founder of Google;2025-05-23;"...When do you think Gemini will create the next version of Gemini ... from scratch sort of rewrite? ... Maybe in 3 years, let's say 3-4 years";Why AI is more important than the Internet - Interview with Sergey Brin;https://www.youtube.com/watch?v=4N9MCa4hCsA&t=675s;Next version of Gemini AI created from scratch in 3-4 years by Gemini itself.;in 3-4 years;2028-05-23;;2029-05-23;rsi
Sam Altman;CEO of OpenAI;2023-10-06;"I no longer think of like AGI is quite the end point but to get to the point where we like accomplish the thing we set out to accomplish, you know that would take us to like 2030, 2031.";Podcast with Joe Rogan;https://www.youtube.com/watch?v=7dCPytNTnjk&t=4710s;AGI achieved by 2030, 2031.;like 2030, 2031;2030-01-01;;2031-12-31;agi
Jeff Dean;Chief Scientist at Google DeepMind;2025-05-12;"How far do you believe we are from having an AI operating 24/7 at the level of junior engineer?...I will claim that's probably possible in the next yearish";AI Ascent 2025;https://www.youtube.com/watch?v=dq8MhTFCs80&t=1536s;AI operating 24/7 at the level of a junior engineer within the next yearish.;in the next yearish;2025-05-13;2026-05-12;;code
Sundar Pichai;CEO of Google;2025-06-05;"Will the AI think it has reached AGI by 2030? I would say we will just fall short of that timeline... I don't think we will quite get there by 2030, so my sense is it's slightly after that.";Podcast with Lex Fridman;https://www.youtube.com/watch?v=9V6tWC4CdFQ&t=2359s;AI reaching AGI slightly after 2030.;slightly after 2030;2030-01-01;;;agi
Eric Schmidt;Former CEO of Google;2025-06-03;"Superintelligence is defined as an intelligence greater than the sum of humans, and we believe we will get there in our lifetimes. Most people think 5 to 10 years. I'm gonna say 6 as a prediction.";The Exchange 2025;https://www.youtube.com/watch?v=ncCP1M9hK6o&t=663s;Superintelligence achieved in 6 years.;in 6 years;;2031-06-03;;asi
Elon Musk;CEO of xAI;2023-11-09;"We will gonna have more chips than we can actually plug-in and turn on probably in about a year.";Podcast with Lex Fridman;https://www.youtube.com/watch?v=JN3KPFbWCy8&t=4533s;Electricity demand will be more than chip shortage today within a year.;within a year;2024-11-09;;;energy
Dario Amodei;CEO of Anthropic;2025-01-21;"you know the way the way I think about it is at some point we're going to get to AI systems that are better than almost all humans at almost all tasks the term ... a country of geniuses in a data center ... thing that I think we are quite likely to get in the next two or three years";CNBC interview at Davos;https://www.youtube.com/watch?v=7LNyUbii0zw&t=127s;AI systems better than almost all humans at almost all tasks within the next two or three years.;in the next two or three years;2027-01-21;;2028-01-21;agi
Sam Altman;CEO of OpenAI;2025-06-10;"2026 will likely see the arrival of systems that can figure out novel insights.";The Gentle Singularity;https://blog.samaltman.com/the-gentle-singularity;AI systems capable of generating novel insights by 2026.;by 2026;2026-01-01;;;science
Sam Altman;CEO of OpenAI;2025-06-10;"2027 may see the arrival of robots that can do tasks in the real world.";The Gentle Singularity;https://blog.samaltman.com/the-gentle-singularity;Robots capable of performing tasks in the real world by 2027.;by 2027;2027-01-01;;;robots
Sam Altman;CEO of OpenAI;2025-06-10;"It’s hard to even imagine today what we will have discovered by 2035 maybe we will go from solving high-energy physics one year to beginning space colonization the next year, or from a major materials science breakthrough one year to true high-bandwidth brain-computer interfaces the next year.";The Gentle Singularity;https://blog.samaltman.com/the-gentle-singularity;Remarkable discoveries in high-energy physics, space colonization, materials science, and brain-computer interfaces by 2035.;by 2035;;2035-12-31;;science
Yoshua Bengio;Turing Award winner, Godfather of AI;2025-06-05;"In fact I have reduced my expectations for when we will get to AGI or whatever human level. I used to think it would be 5 to 20 years and now I think it could be 2 to 10 years.";BBC Newsnight;https://www.youtube.com/watch?v=c4Zx849dOiY&t=1141s;AGI achieved in 2 to 10 years.;in 2 to 10 years;2027-06-05;;2035-06-05;agi
Eric Schmidt;Former CEO of Google;2025-04-09;"Many people project demand for our industry will go from 3% to 99% of total generation... an additional 29 gigawatts by 2027 and 67 more gigawatts by 2030.";Full Committee: Future of AI Technology, Human Discovery, and American Global Competitiveness;https://www.youtube.com/live/HXoXMETZUiE?t=1760s;AI industry demand for electricity increasing with an additional 29 gigawatts by 2027 and 67 gigawatts by 2030.;by 2030;2027-01-01;;2030-12-31;energy
Demis Hassabis;CEO of DeepMind;2024-02-28;"I will say that when we started DeepMind back in 2010, we thought of it as a 20-year project. And I think we’re on track actually, ... So I wouldn't be surprised if we had AGI-like systems within the next decade.";Podcast with Dwarkesh Patel;https://www.dwarkesh.com/p/demis-hassabis;AGI-like systems achieved within the next decade, aligning with the original 20-year project timeline.;within the next decade;;;2034-02-28;agi
Daniel Kokotajlo;Former OpenAI Researcher;2025-04-03;"we forecast a superhuman coder in early 2027 ...  by March 2027 AIs could succeed with 80% reliability on software tasks that would take a skilled human years to complete.";AI 2027;https://ai-2027.com/;AIs could succeed with 80% reliability on software tasks that would take a skilled human years to complete based on METR evals by March 2027.;by March 2027;;2027-03-31;;code
Daniel Kokotajlo;Former OpenAI Researcher;2025-04-03;"July 2027: The Cheap Remote Worker ... announces that they've achieved AGI";AI 2027;https://ai-2027.com/;AGI achieved by July 2027, cheap remote worker;July 2027;;2027-07-31;;agi
Quanquan Gu;Prof at UCLA, Research Scientist at ByteDance;2025-06-11;"[AGI] 3-5 years";Twitter comment;https://x.com/QuanquanGu/status/1932593983424774640;AGI achieved in 3-5 years.;3-5 years;2028-06-11;;2030-06-11;agi
Dwarkesh Patel;AI Podcaster;2025-06-02;"But here are the timelines where I’d take a 50/50 bet: ... AI learns on the job as easily, organically, seamlessly, and quickly as a human, for any white collar work. For example, if I hire an AI video editor, after six months, it has as much actionable, deep understanding of my preferences, our channel, what works for the audience, etc as a human would: 2032";Personal blog;https://www.dwarkesh.com/p/timelines-june-2025;AI learning on the job as easily and quickly as a human for white-collar work by 2032 at odds 50/50.;by 2032;;2032-12-31;;agi
Christian Szegedy;AI Researcher at Morph Labs (formerly at xAI);2025-06-15;"[About proof generation in Mathematics] This will be solved soon (within a year) by verification-driven RL for reasoning.";Twitter comment;https://x.com/ChrSzegedy/status/1934338398317412847;Proof generation in Mathematics solved within a year by verification-driven RL for reasoning.;within a year;2025-06-16;;2026-06-15;science
Gary Marcus;AI Researcher;2025-06-08;"strong prediction: we will not reach AGI during Trump’s second term.";Twitter comment;https://x.com/GaryMarcus/status/1931751064459411860;AGI NOT reached during Trump's second term (2025-2029).;during Trump's second term;2025-01-20;;2029-01-20;not agi
Subbarao Kambhampati;AI researcher & teacher at SCAI_ASU;2025-06-08;"[About Gary Marcus' AGi prediction] Even stronger prediction (Logically): Not even in his [Trump] third term.";Twitter comment;https://x.com/rao2z/status/1931754981088165911;AGI NOT reached during Trump's third term (2029-2033).;during Trump's third term;2029-01-20;;2033-01-20;not agi
Elon Musk;CEO of xAI;2025-06-16;"I think we are quite close to digital superintelligence, it may happen this year and if doesn't happen this year next year for sure. Digital superintelligence defined as smarter than any human at anything.";Y Combinator - AI Startup School;https://www.youtube.com/watch?v=cFIlta1GkiE&t=2524s;Digital superintelligence achieved this year or next year;this year or next year;2025-06-17;;2026-12-31;asi
John Carmack;AI Researcher;2022-08-04;"I think what I said a couple of years ago is a 50% chance that somewhere there will be signs of life of AGI in 2030, and I've probably increased that slightly. I maybe at 55, 60% now.";Podcast with Lex Fridman;https://www.youtube.com/watch?v=I845O57ZSy4&t=14777s;AGI signs of life by 2030, with a 55-60% chance.;by 2030;;2030-12-31;;agi
Nathan Lambert;AI Researcher at Allen Institute for AI (Ai2);2025-02-03;"You're asking about the AGI thing. If you make me give a year... which is how you get something similar to 2030 or little after 2030";Lex Fridman podcast;https://www.youtube.com/watch?v=_1f-o0nqpEI&t=4420s;AGI achieved by 2030 or little after 2030.;by 2030 or little after;2030-01-01;;2031-12-31;agi
Dylan Patel;Founder of SemiAnalysis;2025-02-03;"okay, if I can leverage those capabilities for X amount of time, this is AGI, call it '27-'28.";Lex Fridman podcast;https://www.youtube.com/watch?v=_1f-o0nqpEI&t=4451s;AGI achieved by 2027-2028.;by 2027-2028;2027-01-01;;2028-12-31;agi
Sam Altman;CEO of OpenAI;2025-06-17;"I think 5 to 10 years we'll have humanoid robots. Like amazing and they'll just like walk down the street be doing stuff.";Podcast with Jack Altman;https://www.youtube.com/watch?v=mZUG0pr5hBo&t=399s;Humanoid robots within 5 to 10 years.;within 5 to 10 years;2030-06-17;;2035-06-17;robots
Jeff Clune;AI Researcher at Google DeepMind and Sakana AI;2025-06-19;"I think roughly speaking I have like 25% estimate of AGI by 2026 according to like the kind of the weaker definition version where it's like about as good as one human or maybe even half the task that humans were doing in 2020 and probably like a 50% chance of that by 2030 then there is a relatively long tail...";Podcast with BuzzRobot;https://www.youtube.com/watch?v=PROWwgwvYPA&t=1275s;AGI achieved by 2026 with a 25% chance, and by 2030 with a 50% chance, based on a weaker definition of AGI.;by 2026-2030;2026-01-01;2030-12-31;;agi
Elon Musk;CEO of xAI;2025-07-07;"First AAA game might be end of next year. @xAI will try for that.";Twitter post;https://x.com/elonmusk/status/1942257436871757992;First AAA game developed by the end of 2026.;by the end of next year;2026-12-31;;;code
Marianne Lake;CEO of Consumer & Community Banking at JPMorganChase;2025-05-19;"The operations team is at the tip of the spear on using and leveraging new AI tools and capabilities. And based upon what we know today, we expect headcount will trend down by about 10% over the next five years or so, even as the business grows by another more than 25%";JPMorganChase Investor Day 2025;https://www.jpmorganchase.com/ir/investor-day;JPMorganChase operations team headcount expected to trend down by 10% over the next five years due to AI tools and capabilities.;over the next five years;;2030-05-19;;jobs
Elon Musk;CEO of xAI;2025-07-09;"and it has not yet invented new technologies or discovered new physics but that is just a matter of time. I think it may discover new technologies as soon as later this year, and I would be shocked if it has not done so next year... within two years it is almost certainly";Grok 4 release event;https://x.com/xai/status/1943158495588815072;AI discovering new technologies and physics within two years, with a high likelihood of this happening within the next year.;within two years;2025-12-31;2026-07-09;2027-07-09;science
Elon Musk;CEO of xAI;2025-07-09;"probably the first half hour watchable TV this year and first watchable AI movie next year";Grok 4 release event;https://x.com/xai/status/1943158495588815072;First watchable AI movie by the end of 2026.;by the end of next year;;2026-01-01;2026-12-31;media
Mark Zuckerberg;CEO of Meta;2025-07-15;"the most exciting things this year is that we're starting to see early glimpses of self-improvement with the models, which means that developing superintelligence is now in sight";The Information's TITV;https://www.youtube.com/live/qDDOy90V4Jo?t=79s;Early glimpses of self-improvement in AI models, indicating that developing superintelligence is now in sight.;this year;;2025-07-15;;rsi
Mark Zuckerberg;CEO of Meta;2025-07-15;"I just think that we should bet and act as if it's [superintelligence] going to be ready in the next 2 to 3 years. I think that I believe that there's a shot";The Information's TITV;https://www.youtube.com/live/qDDOy90V4Jo?t=190s;Superintelligence potentially ready in the next 2 to 3 years;in the next 2 to 3 years;2027-07-15;;2028-07-15;asi
Elon Musk;CEO of xAI;2024-03-13;"AI will probably be smarter than any single human next year.";Twitter post;https://x.com/elonmusk/status/1767738797276451090;AI smarter than any single human by the end of 2025.;by the end of 2025;;2025-12-31;;agi
Elon Musk;CEO of xAI;2024-03-13;"By 2029, AI is probably smarter than all humans combined.";Twitter post;https://x.com/elonmusk/status/1767738797276451090;AI smarter than all humans combined by the end of 2029.;by the end of 2029;;2029-12-31;;asi
Elon Musk;CEO of xAI;2024-03-27;"I think I think some things are fairly obvious tp predict which is that we'll have AI or AGI that's at a level that it can really do almost any cognitive I think really not almost really any cognitive task it's just  question of when, one could debate  ... at the end of next or is it two years or 3 years but it's not more than 5 years that's for sure ... the 50th percentile ... end of next year before AI can do better than any individual human can do";MOONSHOTS - Interview with Peter Diamandis;https://www.youtube.com/watch?v=DSKxmvq9t04&t=38s;AI or AGI capable of performing any cognitive task better than any individual human by the end of 2025, with a 50th percentile prediction.;not more than 5 years;;2025-12-31;2029-03-27;agi
Elon Musk;CEO of xAI;2024-03-27;"that's why I think probably 2029 or maybe 2030 is where digital intelligence probably exceed all human intelligence combined";MOONSHOTS - Interview with Peter Diamandis;https://youtu.be/DSKxmvq9t04?si=ucHWXj4n-eN-LrUM&t=108;Digital intelligence exceeding all human intelligence combined by the end of 2029 or 2030.;by the end of 2029 or 2030;;2029-01-01;2030-12-31;asi
Elon Musk;CEO of xAI;2023-11-30;"If you say smarter than the smartest human at anything, it may not be smarter than all humans ... discover new physics, invent new technology, I would say we are less than three years away from that point.";New York Times Dealbook Summit;https://www.youtube.com/watch?v=2BfMuHDfGJI&t=3196s;AGI no less than three years away;less than three years away;;;2026-11-30;agi
Elon Musk;CEO of xAI;2022-05-30;"2029 feels like a pivotal year. I’d be surprised if we don’t have AGI by then.";Twitter comment;https://x.com/elonmusk/status/1531328534169493506;AGI achieved by 2029.;by 2029;;;2029-12-31;agi
Emad Mostaque;CEO of Stability AI;2025-07-19;"In next 1k days: Intelligence becomes abundant. AGI thinks faster, cheaper, better";Twitter post;https://x.com/EMostaque/status/1946602091541131329;AGI achieved in the next 1000 days.;in the next 1000 days;;;2028-03-15;agi
Benjamin Mann;Co-founder of Anthropic;2025-07-20;"I think 50th percentile chances of hitting some kind of superintelligence is now like 2028.";Lenny Podcast;https://www.youtube.com/watch?v=WWoyWNhx2XU&t=5s;Superintelligence achieved by 2028 with a 50th percentile chance.;by 2028;;2028-12-31;;asi
Anthropic;Anthropic;2025-07-22;"we project that 2GW and 5GW data centers will be needed to develop single advanced AI models for Anthropic in 2027 and 2028, respectively ... we expect total frontier AI training demands in America to reach 20-25GW in total by 2028 ... and at least as much will likely be needed for serving everyday AI model demand (called “inference”) ... the U.S. AI sector needs at least 50GW of electric capacity by 2028 to maintain global AI leadership.";Build AI in America;https://www.anthropic.com/news/build-ai-in-america;AI sector needs at least 50GW of electric capacity by 2028 to maintain global AI leadership.;in 2027 and 2028;2027-01-01;;2028-12-31;energy
Nancy Mace; US Representative, (R-SC);2025-07-22;"Well, some say, some estimates say singularity is like 1000 days away, some say 2000 days away, but it is rapidly approaching either way";Bipartisan Roundtable: Artificial Intelligence in the Real World;https://www.youtube.com/live/q4iMl7iUD6E?t=1490s;Singularity rapidly approaching in 1000 to 2000 days.;in 1000 to 2000 days;2028-04-17;;2031-01-12;asi
Elon Musk;CEO of xAI;2025-07-22;"The @xAI goal is 50 million in units of H100 equivalent-AI compute (but much better power-efficiency) online within 5 years";Twitter post;https://x.com/elonmusk/status/1947704195844608094;xAI aims to have 50 million units of H100 equivalent-AI compute online within 5 years.;within 5 years;;;2030-07-22;compute
Demis Hassabis;CEO of DeepMind;2025-07-23;"My estimate is sort of 50% chance by in the next 5 years. So you know by 2030 let's say.";Podcast with Lex Fridman;https://www.youtube.com/watch?v=-HzgcbRXUK8&t=3150s;AGI achieved by 2030 with a 50% chance.;by 2030;;2030-12-31;;agi
Eric Schmidt;Former CEO of Google;2025-07-17;"When do you see what you define as digital superintelligence? ... within 10 years";Podcast with  Peter Diamandis;https://www.youtube.com/watch?v=qaPHK1fJL5s;Digital superintelligence achieved within 10 years.;within 10 years;;;2035-07-17;asi
Joshua Achiam;Head of Mission Alignment at OpenAI;2025-08-04;"My current best guess is something like: the 2035-2045 period will be the critical window for the transformation of the global economy to accommodate AI and robotics reaching their full potential.";Twitter post;https://x.com/jachiam0/status/1952159244004020453;AI and robotics reaching their full potential during the 2035-2045 period, transforming the global economy.;during the 2035-2045 period;2035-01-01;;2045-12-31;economy
Amjad Masad;CEO of Replit;2025-05-22;"We’re on month three and haven’t had to hire anyone. We think of Replit as our CTO ... I don’t think we’re there yet, where they can run the entire company without hiring engineers, but that might be a year, 18 months away,";Semafor Tech: San Francisco | Semafor Events;https://www.youtube.com/watch?v=y5v1HK5D-_w&t=6980s;AI capable of running an entire company without hiring engineers within a year to 18 months.;within a year to 18 months;2026-05-22;2027-11-22;;jobs
Sholto Douglas;AI Researcher at Anthropic;2025-05-22;"in one where at the very least, you get drop-in white collar worker at some point in the next five years, I think it is very likely in two, but it seems almost overdetermined in five";Podcast with Dwarkesh Patel;https://www.youtube.com/watch?v=64lXQP6cs5M&t=7042s;Drop-in white-collar worker AI achieved in the next two to five years.;in the next two to five years;;2027-05-22;2030-05-22;jobs
Francois Chollet;AI Researcher at ARC Prize;2025-08-11;"[How many years away is AGI?] ... I couldn't really say how many years away I thought we were, you know, last year, but probably 10 yearsish, and now I think it's probably, you know, five, fiveish";Chat with Dwarkesh Patel;https://www.youtube.com/watch?v=1if6XbzD5Yg&t=201s;AGI achieved in about 5 years.;five, fiveish year;;2030-08-11;;agi
